what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593813579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1348593861097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593862267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593863219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593863500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593883843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348593889242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348593891722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348593937384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593939412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593940442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593940754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593949694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348593970849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348593975669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348593996573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593998788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348593999771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348594000036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348594011035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348594020053
